출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 16:00,2019-10-01 00:40,110639,110595,M,45,EH,512,4838,3.19
2019-09-30 16:00,2019-10-01 00:40,110663,110509,F,20,EE,518,5133,2.20
2019-09-30 16:00,2019-10-01 00:40,111113,111120,M,65,HE,524,703,4.08
2019-09-30 16:00,2019-10-01 00:40,310806,111057,M,45,EE,512,23091,3.18
2019-09-30 16:00,2019-10-01 01:00,110069,110437,F,50,WH,543,4288,3.12
2019-09-30 16:00,2019-10-01 01:00,110880,110626,F,35,EE,542,14615,3.03
2019-09-30 16:00,2019-10-01 01:00,111008,111032,F,60,EH,533,2308,3.84
2019-09-30 16:00,2019-10-01 01:00,111012,230027,M,50,WH,549,37686,3.22
2019-09-30 16:00,2019-10-01 01:00,111153,310021,F,55,EH,542,20274,3.27
2019-09-30 16:00,2019-10-01 01:00,111255,111238,M,30,EH,544,3008,2.39
2019-09-30 16:00,2019-10-01 01:00,111771,111677,F,30,WH,550,4344,2.42
2019-09-30 16:00,2019-10-01 01:00,310186,111486,F,25,WH,527,12044,2.08
2019-09-30 16:00,2019-10-01 01:00,310192,110094,F,15,WH,557,15434,3.84
2019-09-30 16:00,2019-10-01 01:00,310518,111115,M,40,EH,539,4859,3.00
2019-09-30 16:00,2019-10-01 01:00,311982,110739,M,50,EE,552,74136,3.29
2019-09-30 16:00,2019-10-01 01:20,110032,111365,M,25,EH,561,11883,2.26
2019-09-30 16:00,2019-10-01 01:20,110037,311137,F,20,EH,555,11743,2.20
2019-09-30 16:00,2019-10-01 01:20,110774,110753,M,55,EH,568,3889,3.29
2019-09-30 16:00,2019-10-01 01:20,111085,110497,M,50,EH,575,15776,3.20
2019-09-30 16:00,2019-10-01 01:40,110064,110342,F,50,EH,585,8535,3.13
2019-09-30 16:00,2019-10-01 01:40,110281,110094,M,30,EH,576,6128,2.29
2019-09-30 16:00,2019-10-01 02:00,110814,111081,M,20,EH,598,10883,2.71
2019-09-30 16:00,2019-10-01 02:00,230027,111718,M,50,WH,604,59674,3.29
2019-09-30 16:00,2019-10-01 02:00,311338,110996,M,25,EE,586,12034,2.27
2019-09-30 16:00,2019-10-01 03:40,312309,111605,M,45,EW,700,40846,3.18
2019-09-30 16:00,2019-10-01 07:00,380957,110006,M,55,EE,904,281528,3.30
2019-09-30 16:00,2019-10-01 07:20,111431,320712,M,50,EE,914,72469,3.31
2019-09-30 16:00,2019-10-01 07:40,210587,110337,F,30,EE,945,314617,2.40
2019-09-30 16:00,2019-10-01 08:40,110351,310661,M,55,EW,997,63263,3.30
